--ICPC-2n DAT bl 154b file with filename: c:\ICPC-2n-v40-DATTXT_CSV.txt
--(Interncode: V403e) V01-2008-09-22(2008-09-25 12:01:58.603)
--This file is generated by KITH AS  Norway Dr.Terje Sagen 2008-09-25 12:02:59.040
--This file can be downloaded from http://www.kith.no/ICPC2e
--It contains 740 rows
--Columns: ICPC2_Code,Title,Shorttitle,Icd10_DATCODE,Icd10_DATTEXT,ICD_DATCODE_DATTEXT
"N94","Perifer nevropati","Perifer nevropati","G629","Uspesifisert polynevropati","G629 Uspesifisert polynevropati"
"N95","Tensjonshodepine","Tensjonshodepine","G442","Tensjonshodepine","G442 Tensjonshodepine"
"N99","Sykdom i nervesystemet IKA","Sykdom i nervesystemet IKA","G92","Toksisk encefalopati","G92 Toksisk encefalopati"
"N99","Sykdom i nervesystemet IKA","Sykdom i nervesystemet IKA","G934","Uspesifisert encefalopati","G934 Uspesifisert encefalopati"
"N99","Sykdom i nervesystemet IKA","Sykdom i nervesystemet IKA","G98","Andre lidelser i nervesystemet, ikke klassifisert annet sted","G98 Andre lidelser i nervesystemet, ikke klassifisert annet sted"
"P01","Følelse av angst/nervøsitet/anspenthet","Følelse angst/nervøs/anspent","R450","Nervøsitet","R450 Nervøsitet"
"P02","Psykisk ubalanse situasjonsbetinget","Psykisk ubalanse situasjonsbetinget","F439","Uspesifisert reaksjon på alvorlig belastning","F439 Uspesifisert reaksjon på alvorlig belastning"
"P03","Depresjonsfølelse","Depresjonsfølelse","R452","Ulykkelighet","R452 Ulykkelighet"
"P04","Irritabel atferd/følelse","Irritabel atferd/følelse","R454","Irritabilitet og sinne","R454 Irritabilitet og sinne"
"P05","Senilitet, atferd/følelse gammel","Senilitet, atferd/følelse gammel","R54","Senilitet","R54 Senilitet"
"P06","Søvnforstyrrelse","Søvnforstyrrelse","F519","Uspesifisert ikke-organisk søvnlidelse","F519 Uspesifisert ikke-organisk søvnlidelse"
"P07","Seksuell drift/lyst hemmet","Seksuell drift/lyst hemmet","F520","Mangel på eller tap av seksuell lyst","F520 Mangel på eller tap av seksuell lyst"
"P08","Seksuell tilfredsstillelse hemmet","Seksuell tilfredsstillelse hemmet","F529","Uspesifisert seksuell dysfunksjon som ikke skyldes somatisk lidelse","F529 Uspesifisert seksuell dysfunksjon som ikke skyldes somatisk lidelse"
"P09","Seksuell legning bekymring for","Seksuell legning bekymret for","F669","Uspesifisert psykoseksuell utviklingsforstyrrelse","F669 Uspesifisert psykoseksuell utviklingsforstyrrelse"
"P10","Stamming/stotring/tics","Stamming/stotring/tics","F959","Uspesifiserte "tics"","F959 Uspesifiserte "tics""
"P10","Stamming/stotring/tics","Stamming/stotring/tics","F985","Stamming","F985 Stamming"
"P11","Spiseforstyrrelse hos barn","Spiseforstyrrelse hos barn","F982","Spiseforstyrrelse i barndommen","F982 Spiseforstyrrelse i barndommen"
"P12","Sengevæting/enuresis IKA","Sengevæting/enuresis IKA","F980","Ikke-organisk enuresis","F980 Ikke-organisk enuresis"
"P13","Enkoprese","Enkoprese","F981","Ikke-organisk enkoprese","F981 Ikke-organisk enkoprese"
"P15","Kronisk alkoholmisbruk","Kronisk alkoholmisbruk","F101","Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av alkohol + avhengighetssyndrom","F101 Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av alkohol + avhengighetssyndrom"
"P16","Akutt alkoholmisbruk","Akutt alkoholmisbruk","F100","Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av alkohol + akutt intoksikasjon","F100 Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av alkohol + akutt intoksikasjon"
"P17","Tobakkmisbruk","Tobakkmisbruk","F171","Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av tobakk + skadelig bruk","F171 Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av tobakk + skadelig bruk"
"P18","Legemiddelmisbruk","Legemiddelmisbruk","F131","Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av sedativa og hypnotika + skadelig bruk","F131 Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av sedativa og hypnotika + skadelig bruk"
"P19","Stoffmisbruk","Stoffmisbruk","F191","Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av flere stoffer + skadelig bruk","F191 Psykiske lidelser og atferdsforstyrrelser som skyldes bruk av flere stoffer + skadelig bruk"
"P20","Hukommelsesforstyrrelse","Hukommelsesforstyrrelse","R418","Andre og uspesifiserte symptomer og tegn med tilknytning til kognitive funksjoner og bevissthet","R418 Andre og uspesifiserte symptomer og tegn med tilknytning til kognitive funksjoner og bevissthet"
"P22","Atferdsforstyrrelse hos barn","Atferdsforstyrrelse barn","F919","Uspesifisert atferdsforstyrrelse","F919 Uspesifisert atferdsforstyrrelse"
"P23","Atferdsforstyrrelse hos ungdom","Atferdsforstyrrelse ungdom","F919","Uspesifisert atferdsforstyrrelse","F919 Uspesifisert atferdsforstyrrelse"
"P24","Spesifikke utviklingsforstyrrelser","Spesifikke utviklingsforstyrrelser","F819","Uspesifisert utviklingsforstyrrelse i skoleferdigheter","F819 Uspesifisert utviklingsforstyrrelse i skoleferdigheter"
"P25","Livsfaseproblem hos voksen","Livsfaseproblem voksen","Z600","Problemer med tilpasning til overgangsperioder i livssyklus","Z600 Problemer med tilpasning til overgangsperioder i livssyklus"
"P27","Engstelig for psykisk sykdom","Engstelig for psykisk sykdom","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"P28","Redusert funksjonsevne pga psykisk problem","Redusert funksjonsevne psyk problem","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"P29","Psykiske symptomer/plager IKA","Psykiske symptomer/plager IKA","R458","Andre spesifiserte symptomer og tegn med tilknytning til emosjonell tilstand","R458 Andre spesifiserte symptomer og tegn med tilknytning til emosjonell tilstand"
"P70","Demens","Demens","F03","Annen og uspesifisert demens","F03 Annen og uspesifisert demens"
"P71","Organisk psykisk lidelse IKA","Organisk psykisk lidelse IKA","F069","Uspesifisert organisk psykisk lidelse","F069 Uspesifisert organisk psykisk lidelse"
"P72","Schizofreni","Schizofreni","F209","Uspesifisert schizofreni","F209 Uspesifisert schizofreni"
"P73","Affektiv lidelse","Affektiv lidelse","F319","Uspesifisert bipolar affektiv lidelse","F319 Uspesifisert bipolar affektiv lidelse"
"P74","Angstlidelse","Angstlidelse","F419","Uspesifisert angstlidelse","F419 Uspesifisert angstlidelse"
"P75","Dissosiativ/somatoform lidelse","Dissosiativ/somatoform lidelse","F459","Uspesifisert somatoform lidelse","F459 Uspesifisert somatoform lidelse"
"P76","Depressiv lidelse","Depressiv lidelse","F329","Uspesifisert depressiv episode","F329 Uspesifisert depressiv episode"
"P77","Selvmord/selvmordsforsøk","Selvmord/selvmordsforsøk","F99","Uspesifisert psykisk forstyrrelse eller lidelse","F99 Uspesifisert psykisk forstyrrelse eller lidelse"
"P78","Nevrasteni","Nevrasteni","F480","Nevrasteni","F480 Nevrasteni"
"P79","Fobi/obsessiv-kompulsiv lidelse","Fobi/obsessiv-kompulsiv lidelse","F409","Uspesifisert fobisk angstlidelse","F409 Uspesifisert fobisk angstlidelse"
"P80","Personlighetsforstyrrelse","Personlighetsforstyrrelse","F609","Uspesifisert personlighetsforstyrrelse","F609 Uspesifisert personlighetsforstyrrelse"
"P81","Hyperkinetisk forstyrrelse","Hyperkinetisk forstyrrelse","F909","Uspesifisert hyperkinetisk forstyrrelse","F909 Uspesifisert hyperkinetisk forstyrrelse"
"P82","Posttraumatisk stresslidelse","Posttraumatisk stresslidelse","F431","Posttraumatisk stresslidelse [PTSD]","F431 Posttraumatisk stresslidelse [PTSD]"
"P85","Psykisk utviklingshemning","Psykisk utviklingshemning","F799","Uspesifisert psykisk utviklingshemning + uten beskrivelse av atferdsproblemer","F799 Uspesifisert psykisk utviklingshemning + uten beskrivelse av atferdsproblemer"
"P86","Anorexia nervosa/bulimi","Anorexia nervosa/bulimi","F500","Anorexia nervosa","F500 Anorexia nervosa"
"P86","Anorexia nervosa/bulimi","Anorexia nervosa/bulimi","F502","Bulimia nervosa","F502 Bulimia nervosa"
"P98","Psykose IKA","Psykose IKA","F29","Uspesifisert ikke-organisk psykose","F29 Uspesifisert ikke-organisk psykose"
"P99","Psykisk lidelse IKA","Psykisk lidelse IKA","F99","Uspesifisert psykisk forstyrrelse eller lidelse","F99 Uspesifisert psykisk forstyrrelse eller lidelse"
"R01","Smerte i luftveier","Smerte luftveier","R071","Brystsmerte ved pusting","R071 Brystsmerte ved pusting"
"R02","Kortpustethet/dyspné","Kortpustethet/dyspné","R060","Dyspné","R060 Dyspné"
"R03","Piping i brystet","Piping i brystet","R062","Hvesende respirasjon","R062 Hvesende respirasjon"
"R04","Pusteproblem IKA","Pusteproblem IKA","R068","Andre og uspesifiserte åndedrettsabnormiteter","R068 Andre og uspesifiserte åndedrettsabnormiteter"
"R05","Hoste","Hoste","R05","Hoste","R05 Hoste"
"R06","Neseblødning","Neseblødning","R040","Epistaxis","R040 Epistaxis"
"R07","Nysing/tetthet i nese","Nysing/tetthet i nese","R067","Nysing","R067 Nysing"
"R08","Nese symptomer/plager IKA","Nese symptomer/plager IKA","J348","Andre spesifiserte forstyrrelser i nese og nesebihuler","J348 Andre spesifiserte forstyrrelser i nese og nesebihuler"
"R09","Bihule symptomer/plager IKA","Bihule symptomer/plager IKA","J348","Andre spesifiserte forstyrrelser i nese og nesebihuler","J348 Andre spesifiserte forstyrrelser i nese og nesebihuler"
"R21","Hals symptomer/plager","Hals symptomer/plager","R070","Smerte i svelg","R070 Smerte i svelg"
"R23","Stemme symptomer/plager","Stemme symptomer/plager","R498","Andre og uspesifiserte stemmeforstyrrelser","R498 Andre og uspesifiserte stemmeforstyrrelser"
"R24","Blodig oppspytt/hemoptyse","Blodig oppspytt/hemoptyse","R042","Hemoptyse","R042 Hemoptyse"
"R25","Unormalt oppspytt/ekspektorat","Unormalt oppspytt/ekspektorat","R093","Unormalt oppspytt","R093 Unormalt oppspytt"
"R26","Engstelig for kreft i luftveiene","Engstelig for kreft luftveier","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"R27","Engstelig for sykdom i luftveiene IKA","Engstelig for sykdom luftveier IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"R28","Redusert funksjonsevne pga luftveisproblem","Redusert funksjonsevne luftveisprobl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"R29","Luftveiene symptomer/plager IKA","Luftveier symptomer/plager IKA","R098","Andre spesifiserte symptomer og tegn med tilknytning til sirkulasjons- og åndedrettssystemet","R098 Andre spesifiserte symptomer og tegn med tilknytning til sirkulasjons- og åndedrettssystemet"
"R71","Kikhoste","Kikhoste","A379","Uspesifisert kikhoste","A379 Uspesifisert kikhoste"
"R72","Streptokokkhals","Streptokokkhals","J030","Streptokokktonsillitt","J030 Streptokokktonsillitt"
"R73","Nesebyll","Nesebyll","J340","Abscess, furunkel og karbunkel i nese","J340 Abscess, furunkel og karbunkel i nese"
"R74","Akutt øvre luftveisinfeksjon","Akutt øvre luftveisinfeksjon","J069","Uspesifisert akutt infeksjon i øvre luftveier","J069 Uspesifisert akutt infeksjon i øvre luftveier"
"R75","Bihulebetennelse","Bihulebetennelse","J019","Uspesifisert akutt sinusitt","J019 Uspesifisert akutt sinusitt"
"R76","Akutt tonsillitt","Akutt tonsillitt","J039","Uspesifisert akutt tonsillitt","J039 Uspesifisert akutt tonsillitt"
"R77","Akutt laryngitt/trakeitt","Akutt laryngitt/trakeitt","J040","Akutt laryngitt","J040 Akutt laryngitt"
"R78","Akutt bronkitt/bronkiolitt","Akutt bronkitt/bronkiolitt","J22","Uspesifisert akutt infeksjon i nedre luftveier","J22 Uspesifisert akutt infeksjon i nedre luftveier"
"R79","Kronisk bronkitt","Kronisk bronkitt","J42","Uspesifisert kronisk bronkitt","J42 Uspesifisert kronisk bronkitt"
"R80","Influensa","Influensa","J111","Influensa med annen luftveismanifestasjon, uidentifisert virus","J111 Influensa med annen luftveismanifestasjon, uidentifisert virus"
"R81","Lungebetennelse","Lungebetennelse","J189","Uspesifisert pneumoni","J189 Uspesifisert pneumoni"
"R82","Pleuritt IKA","Pleuritt IKA","R091","Pleuritt","R091 Pleuritt"
"R83","Luftveisinfeksjon IKA","Luftveisinfeksjon IKA","J311","Kronisk nasofaryngitt","J311 Kronisk nasofaryngitt"
"R84","Ondartet svulst i bronkie/lunge","Ondartet svulst bronkie/lunge","C349","Bronkie (bronchus) eller lunge (pulmo), uspesifisert","C349 Bronkie (bronchus) eller lunge (pulmo), uspesifisert"
"R85","Ondartet svulst i luftveiene IKA","Ondartet svulst luftveier IKA","C329","Ondartet svulst i strupe, uspesifisert","C329 Ondartet svulst i strupe, uspesifisert"
"R85","Ondartet svulst i luftveiene IKA","Ondartet svulst luftveier IKA","C399","Ufullstendig angitte lokalisasjoner i åndedrettsorganer","C399 Ufullstendig angitte lokalisasjoner i åndedrettsorganer"
"R85","Ondartet svulst i luftveiene IKA","Ondartet svulst luftveier IKA","C450","Mesoteliom i brysthinne","C450 Mesoteliom i brysthinne"
"R86","Godartet svulst i luftveiene","Godartet svulst luftveier","D144","Åndedrettsorgan, uspesifisert","D144 Åndedrettsorgan, uspesifisert"
"R87","Fremmedlegeme i nese/larynks/bronkie","Fremmedlegeme i nese/larynks/bronkie","T179","Fremmedlegeme i luftveier, uspesifisert del","T179 Fremmedlegeme i luftveier, uspesifisert del"
"R88","Skade i luftveiene IKA","Skade luftveier IKA","S279","Skade i uspesifisert intratorakalt organ","S279 Skade i uspesifisert intratorakalt organ"
"R89","Medfødt feil i luftveiene","Medfødt feil luftveier","Q349","Uspesifisert medfødt misdannelse i åndedrettssystemet","Q349 Uspesifisert medfødt misdannelse i åndedrettssystemet"
"R90","Hypertrofi av tonsiller/adenoid vev","Hypertrofi tonsiller/adenoid vev","J359","Uspesifisert kronisk sykdom i mandler og adenoid vev","J359 Uspesifisert kronisk sykdom i mandler og adenoid vev"
"R92","Uspesifisert svulst i luftveiene","Uspesifisert svulst luftveier","D020","Carcinoma in situ i strupe","D020 Carcinoma in situ i strupe"
"R92","Uspesifisert svulst i luftveiene","Uspesifisert svulst luftveier","D021","Carcinoma in situ i luftrør","D021 Carcinoma in situ i luftrør"
"R92","Uspesifisert svulst i luftveiene","Uspesifisert svulst luftveier","D022","Carcinoma in situ i bronkie og lunge","D022 Carcinoma in situ i bronkie og lunge"
"R92","Uspesifisert svulst i luftveiene","Uspesifisert svulst luftveier","D382","Svulst med usikkert/ukjent malignitetspotensial i brysthinne","D382 Svulst med usikkert/ukjent malignitetspotensial i brysthinne"
"R92","Uspesifisert svulst i luftveiene","Uspesifisert svulst luftveier","D386","Svulst med usikkert/ukjent mal.pot. i ådr.org., uspes.","D386 Svulst med usikkert/ukjent mal.pot. i ådr.org., uspes."
"R95","Kronisk obstruktiv lungesykdom","Kronisk obstruktiv lungesykdom","J449","Uspesifisert kronisk obstruktiv lungesykdom","J449 Uspesifisert kronisk obstruktiv lungesykdom"
"R96","Astma","Astma","J450","Hovedsakelig allergisk astma","J450 Hovedsakelig allergisk astma"
"R96","Astma","Astma","J451","Ikke-allergisk astma","J451 Ikke-allergisk astma"
"R96","Astma","Astma","J459","Uspesifisert astma","J459 Uspesifisert astma"
"R97","Allergisk rinitt","Allergisk rinitt","J304","Uspesifisert allergisk rinitt","J304 Uspesifisert allergisk rinitt"
"R98","Hyperventileringssyndrom","Hyperventileringssyndrom","R064","Hyperventilering","R064 Hyperventilering"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J384","Larynksødem","J384 Larynksødem"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J393","Hypersensitivitetsreaksjon i øvre luftveier, uspesifisert lokalisasjon","J393 Hypersensitivitetsreaksjon i øvre luftveier, uspesifisert lokalisasjon"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J47","Bronkiektasi","J47 Bronkiektasi"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J60","Pneumokoniose som skyldes kullstøv","J60 Pneumokoniose som skyldes kullstøv"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J61","Pneumokoniose som skyldes asbest og andre mineralfibre","J61 Pneumokoniose som skyldes asbest og andre mineralfibre"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J620","Pneumokoniose som skyldes talkum","J620 Pneumokoniose som skyldes talkum"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J628","Pneumokoniose som skyldes annet stenstøv","J628 Pneumokoniose som skyldes annet stenstøv"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J630","Aluminiose (i lunge)","J630 Aluminiose (i lunge)"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J631","Bauxittfibrose (i lunge)","J631 Bauxittfibrose (i lunge)"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J632","Berylliose","J632 Berylliose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J633","Grafittfibrose (i lunge)","J633 Grafittfibrose (i lunge)"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J634","Siderose","J634 Siderose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J635","Stannose","J635 Stannose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J638","Pneumokoniose som skyldes annet spesifisert uorganisk støv","J638 Pneumokoniose som skyldes annet spesifisert uorganisk støv"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J64","Uspesifisert pneumokoniose","J64 Uspesifisert pneumokoniose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J660","Byssinose","J660 Byssinose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J670","Treskerlunge","J670 Treskerlunge"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J671","Bagassose","J671 Bagassose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J675","Soppdyrkerlunge","J675 Soppdyrkerlunge"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J678","Lungesykdom som skyldes annet spesifisert organisk støv","J678 Lungesykdom som skyldes annet spesifisert organisk støv"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J679","Lungesykdom som skyldes uspesifisert organisk støv","J679 Lungesykdom som skyldes uspesifisert organisk støv"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J681","Akutt lungeødem forårsaket av kjemikalier, gasser, røyk og damp","J681 Akutt lungeødem forårsaket av kjemikalier, gasser, røyk og damp"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J683","Andre akutte og subakutte lungesykdommer forårsaket av kjemikalier, gasser, røyk og damp","J683 Andre akutte og subakutte lungesykdommer forårsaket av kjemikalier, gasser, røyk og damp"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J684","Kroniske lungesykdommer forårsaket av kjemikalier, gasser, røyk og damp","J684 Kroniske lungesykdommer forårsaket av kjemikalier, gasser, røyk og damp"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J698","Pneumoni forårsaket av andre faste stoffer og væsker","J698 Pneumoni forårsaket av andre faste stoffer og væsker"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J81","Lungeødem","J81 Lungeødem"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J841","Annen interstitiell lungesykdom med fibrose","J841 Annen interstitiell lungesykdom med fibrose"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J920","Pleuraplakk med tilstedeværelse av asbest","J920 Pleuraplakk med tilstedeværelse av asbest"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J929","Pleuraplakk uten asbest","J929 Pleuraplakk uten asbest"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J930","Spontan overtrykkspneumotoraks","J930 Spontan overtrykkspneumotoraks"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J939","Uspesifisert pneumotoraks","J939 Uspesifisert pneumotoraks"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J982","Interstitielt emfysem","J982 Interstitielt emfysem"
"R99","Luftveissykdom IKA","Luftveissykdom IKA","J989","Uspesifisert åndedrettsforstyrrelse","J989 Uspesifisert åndedrettsforstyrrelse"
"S01","Smerte/ømhet i huden","Smerte/ømhet hud","R208","Andre og uspesifiserte forstyrrelser i hudens følsomhet","R208 Andre og uspesifiserte forstyrrelser i hudens følsomhet"
"S02","Hudkløe","Hudkløe","L299","Uspesifisert kløe","L299 Uspesifisert kløe"
"S03","Vorter","Vorter","B07","Virusvorter","B07 Virusvorter"
"S04","Lokalisert hevelse/kul i huden","Lokalisert hevelse/kul hud","R229","Uspesifisert lokalisert hevelse, oppfylling og kul","R229 Uspesifisert lokalisert hevelse, oppfylling og kul"
"S05","Utbredte hevelser/kuler i huden","Utbredte hevelser/kuler hud","R227","Lokalisert hevelse, oppfylling og kul med flere lokalisasjoner","R227 Lokalisert hevelse, oppfylling og kul med flere lokalisasjoner"
"S06","Lokalisert utslett i huden","Lokalisert utslett hud","R21","Utslett og annet uspesifikt hudutbrudd","R21 Utslett og annet uspesifikt hudutbrudd"
"S07","Utbredt utslett i huden","Utbredt utslett hud","R21","Utslett og annet uspesifikt hudutbrudd","R21 Utslett og annet uspesifikt hudutbrudd"
"S08","Forandring av hudfargen IKA","Forandring av hudfarge IKA","R238","Andre og uspesifiserte hudforandringer","R238 Andre og uspesifiserte hudforandringer"
"S09","Infeksjon i finger/tå","Infeksjon finger/tå","L030","Cellulitt på finger og tå","L030 Cellulitt på finger og tå"
"S10","Abscess/furunkel","Abscess/furunkel","L029","Uspesifisert kutan abscess, furunkel og karbunkel","L029 Uspesifisert kutan abscess, furunkel og karbunkel"
"S11","Hudinfeksjon posttraumatisk","Hudinfeksjon posttraumatisk","T793","Posttraumatisk sårinfeksjon, ikke klassifisert annet sted","T793 Posttraumatisk sårinfeksjon, ikke klassifisert annet sted"
"S12","Insektstikk/bitt","Insektstikk/bitt","T140","Overflateskade på uspesifisert kroppsregion","T140 Overflateskade på uspesifisert kroppsregion"
"S13","Bitt av dyr/menneske","Bitt av dyr/menneske","T141","Åpent sår på uspesifisert kroppsregion","T141 Åpent sår på uspesifisert kroppsregion"
"S14","Forbrenning/skålding","Forbrenning/skålding","T300","Brannskade i uspesifisert kroppsregion, uspesifisert grad","T300 Brannskade i uspesifisert kroppsregion, uspesifisert grad"
"S14","Forbrenning/skålding","Forbrenning/skålding","T304","Etseskade i uspesifisert kroppsregion, uspesifisert grad","T304 Etseskade i uspesifisert kroppsregion, uspesifisert grad"
"S15","Fremmedlegeme i huden","Fremmedlegeme hud","T141","Åpent sår på uspesifisert kroppsregion","T141 Åpent sår på uspesifisert kroppsregion"
"S16","Kontusjon/slag hud","Kontusjon/slag hud","T140","Overflateskade på uspesifisert kroppsregion","T140 Overflateskade på uspesifisert kroppsregion"
"S17","Skrubbsår/blemmer","Skrubbsår/blemmer","T140","Overflateskade på uspesifisert kroppsregion","T140 Overflateskade på uspesifisert kroppsregion"
"S18","Åpent sår/kutt","Åpent sår/kutt","T141","Åpent sår på uspesifisert kroppsregion","T141 Åpent sår på uspesifisert kroppsregion"
"S19","Skade i hud/underhud IKA","Skade hud/underhud IKA","T140","Overflateskade på uspesifisert kroppsregion","T140 Overflateskade på uspesifisert kroppsregion"
"S20","Liktorn/fortykket underhud","Liktorn/fortykket underhud","L84","Liktorner og hornhud","L84 Liktorner og hornhud"
"S21","Hudstruktur symptomer/plager","Hudstruktur symptomer/plager","R234","Forandringer i hudstruktur","R234 Forandringer i hudstruktur"
"S22","Negl symptomer/plager","Negl symptomer/plager","L609","Uspesifisert neglelidelse","L609 Uspesifisert neglelidelse"
"S23","Håravfall/skallethet","Håravfall/skallethet","L659","Uspesifisert hårtap uten arrdannelse","L659 Uspesifisert hårtap uten arrdannelse"
"S24","Hår/hodebunn symptomer/plager IKA","Hår/hodebunn symptomer/plager IKA","L679","Uspesifisert abnormitet ved hårfarge og hårskaft","L679 Uspesifisert abnormitet ved hårfarge og hårskaft"
"S26","Engstelig for kreft i huden","Engstelig for kreft hud","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"S27","Engstelig for hudsykdom IKA","Engstelig for hudsykdom IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"S28","Redusert funksjonsevne pga hudproblem","Redusert funksjonsevne pga hudprobl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"S29","Hud symptomer/plager IKA","Hud symptomer/plager IKA","R238","Andre og uspesifiserte hudforandringer","R238 Andre og uspesifiserte hudforandringer"
"S70","Herpes zoster","Herpes zoster","B029","Herpes zoster uten komplikasjoner","B029 Herpes zoster uten komplikasjoner"
"S71","Herpes simplex IKA","Herpes simplex IKA","B009","Uspesifisert herpesvirusinfeksjon","B009 Uspesifisert herpesvirusinfeksjon"
"S72","Infestasjon av midd","Infestasjon midd","B86","Skabb","B86 Skabb"
"S73","Infestasjon av parasitt IKA","Infestasjon parasitt IKA","B889","Uspesifisert infestasjon","B889 Uspesifisert infestasjon"
"S74","Ringorm/hudsopp IKA","Ringorm/hudsopp IKA","B359","Uspesifisert hudsoppsykdom","B359 Uspesifisert hudsoppsykdom"
"S75","Candidainfeksjon i huden","Candidainfeksjon hud","B372","Candidainfeksjon på hud og negler","B372 Candidainfeksjon på hud og negler"
"S76","Hudinfeksjon IKA","Hudinfeksjon IKA","L089","Uspesifisert lokal infeksjon i hud og underhud","L089 Uspesifisert lokal infeksjon i hud og underhud"
"S77","Ondartet svulst i huden","Ondartet svulst hud","C449","Ondartet svulst i hud, uspesifisert","C449 Ondartet svulst i hud, uspesifisert"
"S78","Lipom","Lipom","D179","Lipom, uspesifisert","D179 Lipom, uspesifisert"
"S79","Godartet/uspesifisert svulst i huden IKA","Godartet/uspesifisert svulst hud IKA","D239","Hud (cutis), uspesifisert","D239 Hud (cutis), uspesifisert"
"S80","Solutløst keratose/solforbrenning","Solutløst keratose/solforbrenning","L569","Uspesifisert akutt hudforandring som skyldes ultrafiolett stråling","L569 Uspesifisert akutt hudforandring som skyldes ultrafiolett stråling"
"S81","Hemangiom/lymfangiom","Hemangiom/lymfangiom","D180","Hemangiom, alle lokalisasjoner","D180 Hemangiom, alle lokalisasjoner"
"S82","Pigmentnevus","Pigmentnevus","D229","Melanocyttnevus, uspesifisert","D229 Melanocyttnevus, uspesifisert"
"S83","Medfødt feil i hud/underhud IKA","Medfødt feil hud/underhud IKA","Q849","Uspesifisert medfødt misdannelse i hud og underhud","Q849 Uspesifisert medfødt misdannelse i hud og underhud"
"S84","Brennkopper","Brennkopper","L010","Impetigo [enhver organisme] [enhver lokalisasjon]","L010 Impetigo [enhver organisme] [enhver lokalisasjon]"
"S85","Pilonidalcyste/-fistel","Pilonidalcyste/-fistel","L059","Pilonidalcyste uten abscess","L059 Pilonidalcyste uten abscess"
"S86","Seboréisk dermatitt","Seboréisk dermatitt","L219","Uspesifisert seboréisk dermatitt","L219 Uspesifisert seboréisk dermatitt"
"S87","Atopisk dermatitt/eksem","Atopisk dermatitt/eksem","L209","Uspesifisert atopisk dermatitt","L209 Uspesifisert atopisk dermatitt"
"S88","Kontaktdermatitt/allergisk dermatitt IKA","Kontakt-/allergisk dermatitt IKA","L238","Allergisk kontaktdermatitt som skyldes andre spesifiserte stoffer","L238 Allergisk kontaktdermatitt som skyldes andre spesifiserte stoffer"
